Date,From,Subject,Year,Month
2026-01-12 14:09:27+00:00,Team Unstop <noreply@dare2compete.news>,=?utf-8?q?7_Days_Left_=7C_=E2=82=B96_Lakhs_+_PPIs_with_TBO?=,2026,1
2025-12-26 13:46:21+00:00,"""Pocket Option"" <noreply@pocketoption.com>",Get the hang of trading and make profit,2025,12
2025-12-26 13:38:46+00:00,Vinay from Internshala <student@internshala.com>,"=?UTF-8?Q?=F0=9F=8E=81=20Reward=20inside:=20Akshaya,=20Bronze=20key=20co?= =?UTF-8?Q?llected=20|=20Only=202=20keys=20left!?=",2025,12
2025-12-29 04:59:40+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?Sprinklr_is_hiring_-_Earn_a_stipend_of_INR_80=2C000!?=,2025,12
2025-12-06 10:23:34+00:00,=?UTF-8?B?aVN0dWRpbw==?= <Contact@alert.internshipstudio.com>,=?UTF-8?B?Rm9sbG93aW5nIHlvdXIgaUNBVCBzdWJtaXNzaW9u?=,2025,12
2025-11-20 20:22:35+00:00,Kaggle <no-reply@kaggle.com>,AI Mathematical Olympiad - Progress Prize 3,2025,11
2025-11-30 12:15:55+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-30 12:00:47+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-26 19:13:00+00:00,Codecademy <learn@itr.mail.codecademy.com>,Start saving early with 60% off annual plans,2025,11
2025-12-06 06:58:41+00:00,Internship Studio <contact@internshipstudio.com>,1 Step Away From Your Internship Common Aptitude Test (iCAT) Registration & Login Details,2025,12
2025-12-04 03:17:02+00:00,"""Beth @ Agent.ai"" <support@agent.ai>","=?utf-8?Q?You_probably_don=E2=80=99t_ne?=
 =?utf-8?Q?ed_feedback=E2=80=A6_right=3F_=F0=9F=98=89?=",2025,12
2026-01-08 15:18:27+00:00,Kaggle <no-reply@kaggle.com>,Competition Launch: Stanford RNA 3D Folding Part 2,2026,1
2025-11-20 06:20:26+00:00,"""Purdue University Online"" <updates@simplilearnmailer.com>",Transform Your Business Skills with ChatGPT & CodeWhisperer - 12-Week GenAI for Business by Purdue ,2025,11
2025-12-25 16:38:20+00:00,Pocket Option <noreply@pocketoption.com>,=?utf-8?Q?Verify_Your_Email?=,2025,12
2025-12-01 17:27:41+00:00,Codecademy <learn@itr.mail.codecademy.com>,Your Cyber Monday savings,2025,12
2026-01-02 05:03:58+00:00,Singiri Hymavathi <shymavathi@edunetfoundation.org>,"New Job Alert!! Edunet Foundation|| Soft Suave || Batch-2023, 2024 &
 2025",2026,1
2025-12-02 04:02:10+00:00,sachin@hackerearth.com,"004, welcome to HackerEarth.",2025,12
